No.;Tahun;Jenis Hutan;Nama PBPH;Luas PBPH;Target Produksi RKTPH Murni Luas (Ha);Target Produksi RKTPH Murni Volume (M3);Target Produksi RKTPH Carry Over Luas (Ha);Target Produksi RKTPH Carry Over Volume (M3);Target Produksi RKTPH Jumlah Luas (Ha);Target Produksi RKTPH Jumlah Volume (M3);Realisasi Produksi RKTPH Alam Volume (M3);Realisasi Produksi RKTPH Tanaman Volume (M3);Realisasi Produksi RKTPH Jumlah Volume (M3);Prosentase;Keterangan
50;2022;Hutan Alam;PT. Greaty Sukses Abadi;16.865,00;0;0;0;0;0;0;0;0;0;0,00%;Tidak Ada
51;2022;Hutan Alam;PT. Kiani Lestari;134.950,00;4.078,00;66.430,77;0;0;4.078,00;66.430,77;0;0;0;0,00%;Tidak Ada
52;2022;Hutan Alam;PT. Hutan Orangutan Perlindungan Ekosistem;49.999,00;0;0;0;0;0;0;0;0;0;0,00%;Tidak Ada
53;2022;Hutan Alam;PT. Hutan Orangutan Perlindungan Ekosistem Unit 2;49.910,00;0;0;0;0;0;0;0;0;0;0,00%;Tidak Ada
54;2022;Hutan Alam;PT. Aditya Kirana Makmur;42.700,00;1.028,00;25.875,00;972;12.681,00;2.000,00;38.556,00;6.118,55;0;6.118,55;15,87%;Tidak Ada
55;2022;Hutan Alam;PT. Aquila Silva;55.300,00;1.444,00;32.346,23;0;0;1.444,00;32.346,23;8.850,59;0;8.850,59;27,36%;Tidak Ada
56;2022;Hutan Alam;PT. Ratah Timber;93.425,00;2.030,37;73.508,30;0;0;2.030,37;73.508,30;19.150,54;0;19.150,54;26,05%;Tidak Ada
57;2022;Hutan Alam;PT. ITCI Kartika Utama (ITCIKU);173.395,00;786,17;58.853,57;0;0;786,17;58.853,57;30.881,62;0;30.881,62;52,47%;Tidak Ada
58;2022;Hutan Alam;PT. Timberdana;74.580,00;3.311,00;81.048,41;0;0;3.311,00;81.048,41;38.638,94;0;38.638,94;47,67%;Tidak Ada
59;2022;Hutan Alam;PT. Sumalindo Lestari Jaya II;267.600,00;5.402,98;81.704,46;0;0;5.402,98;81.704,46;0;0;0;0,00%;Tidak Ada
60;2022;Hutan Alam;PT. Rizki Kacida Reana;55.150,00;1.426,00;50.073,20;0;0;1.426,00;50.073,20;0;0;0;0,00%;Tidak Ada
61;2022;Hutan Tanaman;PT. Delonix Agro Prima;19.250,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
62;2022;Hutan Tanaman;PT. Belantara Subur;16.475,00;638,59;53.579,46;133,54;6.666,61;772,13;60.246,07;0;33.266,22;33.266,22;55,22%;Tidak Ada
63;2022;Hutan Tanaman;PT. Belantara Pusaka;15.610,00;1.739,00;18.598,26;0;0;1.739,00;18.598,26;107,38;0;107,38;0,58%;Tidak Ada
64;2022;Hutan Tanaman;PT. Belantara Persada;17.150,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
65;2022;Hutan Tanaman;PT. Acacia Andalan Utama;38.879,70;2.040,00;195.898,00;1.652,00;117.361,00;3.692,00;313.259,00;0;200.174,47;200.174,47;63,90%;Tidak Ada
66;2022;Hutan Tanaman;PT. Multi Kusuma Cemerlang;18.045,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
67;2022;Hutan Tanaman;PT. Acacia Andalan Utama II;21.965,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
68;2022;Hutan Tanaman;PT. Cahaya Mitra Wiratama;18.290,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
69;2022;Hutan Tanaman;PT. Dharma Hutani Makmur;28.950,00;14.959,00;43.588,72;0;0;14.959,00;43.588,72;36.591,69;0;36.591,69;83,95%;Tidak Ada
70;2022;Hutan Tanaman;PT. ITCI Hutani Manunggal (IKN);42.150,00;0;0;0;0;0;0;0;662.981,45;662.981,45;0%;Tidak Ada
71;2022;Hutan Tanaman;PT. Sumalindo Hutani Jaya I;10.976,40;1.082,00;56.475,00;1.539,00;62.445,00;2.621,00;118.920,00;0;179.599,48;179.599,48;151,03%;Tidak Ada
72;2022;Hutan Tanaman;PT. Tanjung Redeb Hutani;185.840,00;14.961,81;945.398,40;0;0;14.961,81;945.398,40;123.860,69;0;123.860,69;13,10%;Tidak Ada
